tweet_id,retweets,favorites
871879754684805121,10527,36563
871762521631449091,3318,19605
871515927908634625,3301,19521
871166179821445120,5447,0
871102520638267392,5255,20283
871032628920680449,3643,21990
870804317367881728,5913,32603
870726314365509632,3,118
870656317836468226,2528,12019
870374049280663552,25256,80348
870308999962521604,3975,21231
870063196459192321,7957,35531
869772420881756160,9665,41261
869702957897576449,6055,27431
869596645499047938,3005,15526
869227993411051520,3629,19859
868880397819494401,13856,63726
868639477480148993,1998,0
868622495443632128,5101,26004
868552278524837888,1998,9843
867900495410671616,4024,23573
867774946302451713,7073,33063
867421006826221569,2406,15700
867072653475098625,118,0
867051520902168576,7587,31424
866720684873056260,4626,19559
866686824827068416,3352,18814
866450705531457537,34027,119441
866334964761202691,13827,51269
866094527597207552,8098,0
865718153858494464,5441,25067
865359393868664832,4840,25876
865006731092295680,7439,27392
864873206498414592,8418,31572
864279568663928832,2931,14280
864197398364647424,8611,29444
863907417377173506,4007,20186
863553081350529029,4062,14969
863471782782697472,2366,0
863432100342583297,5088,23346
863427515083354112,93,2192
863079547188785154,1076,8597
863062471531167744,2366,8318
862831371563274240,5004,18811
862722525377298433,3435,16754
862457590147678208,4812,20102
862096992088072192,22569,73160
861383897657036800,10435,35482
861288531465048066,4035,16913
861005113778896900,3720,16430
860981674716409858,2104,0
860924035999428608,788,0
860563773140209665,2104,7396
860524505164394496,5168,23275
860276583193509888,3412,18051
860184849394610176,5720,16417
860177593139703809,30258,0
859924526012018688,4006,19290
859851578198683649,3440,15202
859607811541651456,1535,18336
859196978902773760,29546,88805
859074603037188101,13348,33437
858860390427611136,7984,0
858843525470990336,3431,15365
858471635011153920,4774,21248
858107933456039936,2867,15552
857989990357356544,2552,15946
857746408056729600,10457,33886
857393404942143489,1618,5836
857263160327368704,4451,19838
857214891891077121,17,227
857062103051644929,169,0
857029823797047296,3954,18764
856543823941562368,2848,16152
856526610513747968,1857,11765
856330835276025856,657,0
856288084350160898,15,511
856282028240666624,6218,27558
855862651834028034,26,340
855860136149123072,999,4959
855857698524602368,2098,11800
855851453814013952,17767,45345
855818117272018944,5391,26497
855459453768019968,8161,29781
855245323840757760,5931,0
855138241867124737,44,0
854732716440526848,6031,22769
854482394044301312,6859,29244
854365224396361728,4669,18865
854120357044912130,7465,31963
854010172552949760,3153,16205
853760880890318849,5744,28609
853639147608842240,10092,34847
853299958564483072,3557,15552
852936405516943360,2008,0
852912242202992640,1831,9094
852672615818899456,2158,14977
852553447878664193,3508,16409
852311364735569921,9961,33299
852226086759018497,6867,20111
852189679701164033,1592,11515
851861385021730816,20,0
851591660324737024,3501,16356
851464819735769094,7105,24409
851224888060895234,5763,20813
850753642995093505,9237,31162
850380195714523136,2641,13196
850333567704068097,336,3483
850145622816686080,3838,16486
850019790995546112,4919,20618
849776966551130114,7670,30811
849668094696017920,5011,0
849412302885593088,3185,16036
849336543269576704,1929,11533
849051919805034497,8587,42853
848690551926992896,4380,25492
848324959059550208,4661,25054
848213670039564288,746,8291
848212111729840128,3094,16539
847978865427394560,3302,0
847971574464610304,436,0
847962785489326080,5166,23838
847842811428974592,1348,5526
847617282490613760,424,7087
847606175596138505,3467,19040
847251039262605312,4350,20772
847157206088847362,5960,20220
847116187444137987,3241,21748
846874817362120707,3979,20389
846514051647705089,11774,45315
846505985330044928,3125,14326
846153765933735936,9216,32185
846139713627017216,10129,31450
846042936437604353,2927,16266
845812042753855489,8868,29754
845677943972139009,4876,25596
845397057150107648,1842,7763
845306882940190720,5485,23749
845098359547420673,7805,0
844979544864018432,2605,13875
844973813909606400,3270,15379
844580511645339650,3196,16789
844223788422217728,2245,13896
843981021012017153,2998,15438
843856843873095681,4722,21861
843604394117681152,2800,17211
843235543001513987,6153,21950
842846295480000512,3705,15535
842765311967449089,1314,6887
842535590457499648,3587,18463
842163532590374912,5931,24986
842115215311396866,3106,14294
841833993020538882,15550,0
841680585030541313,7968,26244
841439858740625411,3773,12917
841320156043304961,5624,20214
841314665196081154,4789,16169
841077006473256960,5447,23364
840761248237133825,1800,0
840728873075638272,16574,0
840698636975636481,2,180
840696689258311684,1002,12566
840632337062862849,1800,9186
840370681858686976,4674,16838
840268004936019968,5872,19724
839990271299457024,2348,13742
839549326359670784,7984,28149
839290600511926273,146,0
839239871831150596,6701,27869
838952994649550848,4094,20106
838921590096166913,2114,11434
838916489579200512,35,0
838831947270979586,11334,0
838561493054533637,1368,11191
838476387338051585,4924,23146
838201503651401729,10352,0
838150277551247360,341,1715
838085839343206401,1,145
838083903487373313,3239,18070
837820167694528512,8098,35053
837482249356513284,452,3932
837471256429613056,2339,13124
837110210464448512,2445,16465
836989968035819520,2352,13062
836753516572119041,4781,19797
836677758902222849,2287,12949
